Xeff (cm),Xeff_std,Count Rate (s^-1),countrate_std,Energy (MeV),energy_std,Energy Squared (MeV^2),e2_std
0.28262894736842104,0.008724266968707126,20.177777777777777,0.6696230743697495,5.500045209251102,0.06532113052560003,30.250497303805997,0.7185383420203847
0.5674789473684211,0.017490395068939697,23.77777777777778,0.7269078770576055,5.4648141588785055,0.0644784689210908,29.86419379107899,0.7047256998055693
0.9783736842105262,0.030144588090331142,23.733333333333334,0.7262282061496974,5.399143398876405,0.06611792251558307,29.150749441630662,0.713960289794864
1.3642815789473683,0.04203129944827127,23.555555555555557,0.7235031376044314,5.340864952830189,0.0649217220082688,28.524838444369816,0.6934762995026944
1.7246473684210526,0.053131848882294413,24.77777777777778,0.7420359047584,5.283166896860987,0.06494333237939186,27.91185246008775,0.6862129275972867
2.2038394736842104,0.06789306012056479,25.6,0.7542472332656506,5.209198003472222,0.06346813756993243,27.135743839378986,0.6612361910267847
2.5669815789473684,0.07907958101375001,23.91111111111111,0.7289430874158546,5.150341700743495,0.06545146847327483,26.5260196344174,0.6741948549056112
2.795194736842105,0.08610968501385656,24.133333333333333,0.7323225357015147,5.112989318600369,0.0659302797231628,26.142659772121466,0.6742016319937318
3.2149736842105265,0.09904103020879752,23.155555555555555,0.7173338840697322,5.044745518234166,0.0648633235186385,25.4494573437437,0.6544379212368486
3.447073684210526,0.10619092540563035,24.177777777777777,0.7329965556653619,5.006546231617648,0.06483916062939954,25.065505169324872,0.6492405106207433
3.8635210526315786,0.11901971629539373,24.666666666666668,0.7403702777314526,4.9369879279279285,0.06482092716723975,24.3738498005061,0.6400402698035162
4.183907894736842,0.1288893539539753,25.08888888888889,0.7466798940627307,4.892912754650133,0.06464866395834792,23.940595224617958,0.6326405449057819
4.545384210526317,0.14002478515271397,24.31111111111111,0.7350149070462767,4.82946050274223,0.06470849534482093,23.323688747547234,0.6250142449193843
5.4693421052631574,0.16848775706198474,24.244444444444444,0.7340064251072775,4.659674564619616,0.06334626308008641,21.712567048163006,0.5903459416759625
6.85972105263158,0.2113191505598861,24.511111111111113,0.7380320846851384,4.410080444242975,0.06365244924513103,19.448809524694312,0.5614248432882417
7.858084210526315,0.24207432103474363,26.355555555555554,0.7652966825654473,4.217263347386172,0.06393720656066484,17.78531014120682,0.5392800755251012
9.129081578947368,0.2812281797414311,24.644444444444446,0.7400367024598539,3.96590158701533,0.06632167148386067,15.728375397890712,0.5260504443827048
10.402855263157896,0.3204675863062011,23.977777777777778,0.7299585646958596,3.6863673493975906,0.06770691841301961,13.589304234704617,0.499185146732164
