Pressure (mmHg),pressure_std,Mean Channel,channel_std,Total Counts,counts_std,Trial Lenght (s)
50.9,0.1,984.9240088105727,5.943359360943476,908,30.133038346638727,45
102.2,0.1,978.6214953271028,5.72710440508994,1070,32.71085446759225,45
176.2,0.1,966.873595505618,6.438555403704434,1068,32.68026927673638,45
245.7,0.1,956.4481132075472,6.166108389124322,1060,32.55764119219941,45
310.6,0.1,946.1264573991032,6.297637788097104,1115,33.391615714128,45
396.9,0.1,932.8940972222222,5.963217684875717,1152,33.94112549695428,45
462.3,0.1,922.3652416356878,6.729330189024263,1076,32.802438933713454,45
503.4,0.1,915.6832412523021,6.947384140837533,1086,32.95451410656816,45
579.0,0.1,903.4750479846449,6.74926961624618,1042,32.28002478313795,45
620.8,0.1,896.6415441176471,6.8134411253522895,1088,32.984845004941285,45
695.8,0.1,884.1981981981982,6.935117346474112,1110,33.31666249791537,45
753.5,0.1,876.3135518157661,6.962572512656052,1129,33.60059523282288,45
818.6,0.1,864.9625228519195,7.091170671777581,1094,33.075670817082454,45
985.0,0.1,834.589367552704,6.9839436556930305,1091,33.03028912982749,45
1235.4,0.1,789.9392565729828,7.466147850568907,1103,33.21144381083123,45
1415.2,0.1,755.4460370994941,7.817428014002061,1186,34.438350715445125,45
1644.1,0.1,710.4797114517584,8.732307554583208,1109,33.301651610693426,45
1873.5,0.1,660.4735866543095,9.359714772891678,1079,32.848135411313685,45
